[Header]
Application Name	LabSolutions
11.01667	-1291
11.02500	-1328
11.03333	-1376
11.04167	-1436
11.05000	-1513
11.05833	-1610
11.06667	-1729
11.07500	-1874
11.08333	-2049
11.09167	-2258
11.10000	-2503
11.10833	-2787
11.11667	-3113
11.12500	-3484
11.13333	-3900
11.14167	-4361
11.15000	-4866
11.15833	-5412
11.16667	-5995
11.17500	-6610
11.18333	-7251
11.19167	-7909
11.20000	-8575
11.20833	-9236
11.21667	-9882
11.22500	-10499
11.23333	-11072
11.24167	-11588
11.25000	-12028
11.25833	-12379
11.26667	-12623
11.27500	-12745
11.28333	-12728
11.29167	-12557
11.30000	-12218
11.30833	-11695
11.31667	-10977
11.32500	-10049
11.33333	-8903
11.34167	-7528
11.35000	-5915
11.35833	-4059
11.36667	-1955
11.37500	402
11.38333	3012
11.39167	5876
11.40000	8989
11.40833	12347
11.41667	15943
11.42500	19765
11.43333	23801
11.44167	28030
11.45000	32432
11.45833	36980
11.46667	41644
11.47500	46388
11.48333	51171
11.49167	55945
11.50000	60658
11.50833	65254
11.51667	69674
11.52500	73856
11.53333	77739
11.54167	81263
11.55000	84369
11.55833	87008
11.56667	89136
11.57500	90718
11.58333	91732
11.59167	92167
11.60000	92022
11.60833	91311
11.61667	90061
11.62500	88305
11.63333	86089
11.64167	83464
11.65000	80489
11.65833	77224
11.66667	73733
11.67500	70074
11.68333	66309
11.69167	62491
11.70000	58672
11.70833	54894
11.71667	51195
11.72500	47606
11.73333	44151
11.74167	40851
11.75000	37717
11.75833	34760
11.76667	31983
11.77500	29387
11.78333	26969
11.79167	24725
11.80000	22649
11.80833	20732
11.81667	18965
11.82500	17340
11.83333	15846
11.84167	14474
11.85000	13215
11.85833	12061
11.86667	11002
11.87500	10031
11.88333	9141
11.89167	8325
11.90000	7577
11.90833	6891
11.91667	6261
11.92500	5683
11.93333	5153
11.94167	4667
11.95000	4220
11.95833	3811
11.96667	3434
11.97500	3088
11.98333	2770
11.99167	2478
12.00000	2209
12.00833	1963
12.01667	1736
12.02500	1528
12.03333	1336
12.04167	1159
12.05000	996
12.05833	846
12.06667	707
12.07500	580
12.08333	462
12.09167	354
12.10000	254
12.10833	161
12.11667	76
12.12500	-3
12.13333	-77
12.14167	-145
12.15000	-208
12.15833	-266
12.16667	-320
12.17500	-370
12.18333	-417
12.19167	-460
12.20000	-500
12.20833	-538
12.21667	-572
12.22500	-605
12.23333	-635
12.24167	-663
12.25000	-689
12.25833	-713
12.26667	-736
12.27500	-757
12.28333	-776
12.29167	-794
12.30000	-811
12.30833	-827
12.31667	-842
12.32500	-856
12.33333	-869
12.34167	-881
12.35000	-892
12.35833	-903
12.36667	-912
12.37500	-922
12.38333	-930
12.39167	-938
12.40000	-945
12.40833	-952
12.41667	-959
12.42500	-965
12.43333	-971
12.44167	-977
12.45000	-982
12.45833	-987
12.46667	-993
12.47500	-997
12.48333	-1001
12.49167	-1005
12.50000	-1009
12.50833	-1013
12.51667	-1017
12.52500	-1020
12.53333	-1024
12.54167	-1028
12.55000	-1031
12.55833	-1034
12.56667	-1037
12.57500	-1040
12.58333	-1043
12.59167	-1046
12.60000	-1049
12.60833	-1052
12.61667	-1054
12.62500	-1057
12.63333	-1060
12.64167	-1063
12.65000	-1065
12.65833	-1068
12.66667	-1070
12.67500	-1073
12.68333	-1076
12.69167	-1078
12.70000	-1081
12.70833	-1083
12.71667	-1085
12.72500	-1088
12.73333	-1090
12.74167	-1092
12.75000	-1095
12.75833	-1097
12.76667	-1099
12.77500	-1102
12.78333	-1104
12.79167	-1107
12.80000	-1109
12.80833	-1112
